Natural_language_description,Code1,Code2
verify downloaded deb packages,"#!/bin/bash

echo "":: Checking package integrity in current directory""

for p in *.deb; do
    pkg=`echo $p|cut -f 1 -d '_'`
    sha256=`apt-cache show $pkg|grep SHA256|head -1|cut -f 2 -d ' '`
    csha256=`sha256sum $p|cut -f 1 -d ' '`
    if [[ ""$csha256"" == ""$sha256"" ]] ;then
        echo ""$p: OK""
    else
        echo ""$p: failed""
    fi
done
",None
dpkg l shows almost files apt libboost dev package,"sudo apt-get install libboost-all-dev
",None
upgraded many broken packages unmet dependencies,apt-get install -f,None
updating apt get command terminal,"cat /etc/resolv.conf
nameserver 208.67.220.220
nameserver 208.67.222.222
",None
run global npm program ubuntu program name,"npm uninstall -g ncu
",None
dpkg error processing package install info,"sudo mv /var/lib/dpkg/info/install-info.postinst /var/lib/dpkg/info/install-info.postinst.bad
",None
elf file libudisks apt get upgrade,"sudo rm /usr/lib/x86_64-linux-gnu/libudisks2.so.0
sudo rm /usr/lib/x86_64-linux-gnu/libudisks2.so.0.0.0

sudo apt-get install --reinstall libudisks2-0
",None
pnmtopnm command found,pnmtopnm -plain,None
apt get works private repository ubuntu fails gpg error signatures invalid ubuntu,digest-algo sha256,None
broken packages ubuntu upgrade,"sudo apt-get clean
sudo apt-get autoclean
sudo apt-get autoremove
sudo apt-get -f install
sudo apt-get upgrade
sudo apt-get --purge remove package_name
",None
vim periodically reverts system version,apt-mark hold vim,None
unable add repository via add apt,"deb http://ppa.launchpad.net/freecad-maintainers/freecad-daily/ubuntu bionic main 
deb-src http://ppa.launchpad.net/freecad-maintainers/freecad-daily/ubuntu bionic main 
",None
etc manpath config missing reinstall manpage,"$ dpkg -S /etc/manpath.config 
man-db: /etc/manpath.config
",None
unable install edb ubuntu,"sudo apt install edb-debugger
Reading package lists... Done
Building dependency tree       
Reading state information... Done
The following packages were automatically installed and are no longer required:
  emacs emacs25 emacs25-bin-common emacs25-common emacs25-el libargtable2-0
  libass5 libavcodec-ffmpeg56 libavdevice-ffmpeg56 libavfilter-ffmpeg5
  libavformat-ffmpeg56 libavresample-ffmpeg2 libavutil-ffmpeg54 libbluray1
  libboost-random1.58.0 libboost-regex1.58.0 libboost-thread1.58.0
  libcryptopp-dev libethereum libfdk-aac0 libjsoncpp1 libjsonrpccpp-client0
  libjsonrpccpp-common0 libjsonrpccpp-server0 libleveldb1v5 liblockfile-bin
  liblockfile1 libm17n-0 libmicrohttpd10 libmicrohttpd12 libnvidia-common-396
  libopencv-core2.4v5 libopencv-imgproc2.4v5 libopenjpeg5 libotf0
  libpostproc-ffmpeg53 libschroedinger-1.0-0 libsdl-ttf2.0-0
  libswresample-ffmpeg1 libswscale-ffmpeg3 libtbb2 libva1 libx264-148
  libx265-79 m17n-db miniupnpc php7.1-common
Use 'sudo apt autoremove' to remove them.
The following additional packages will be installed:
  edb-debugger-plugins libcapstone3 libcdt5 libcgraph6 libgts-0.7-5 libgts-bin
  libgvc6 libpathplan4 libqt5concurrent5 libqt5xmlpatterns5
The following NEW packages will be installed:
  edb-debugger edb-debugger-plugins libcapstone3 libcdt5 libcgraph6
  libgts-0.7-5 libgts-bin libgvc6 libpathplan4 libqt5concurrent5
  libqt5xmlpatterns5
0 upgraded, 11 newly installed, 0 to remove and 3 not upgraded.
Need to get 3.105 kB of archives.
After this operation, 13,1 MB of additional disk space will be used.
Do you want to continue? [Y/n] 
Get:1 http://archive.ubuntu.com/ubuntu bionic/universe amd64 libcapstone3 amd64 3.0.4-5 [434 kB]
Get:2 http://archive.ubuntu.com/ubuntu bionic/universe amd64 libcdt5 amd64 2.40.1-2 [19,6 kB]
Get:3 http://archive.ubuntu.com/ubuntu bionic/universe amd64 libcgraph6 amd64 2.40.1-2 [40,8 kB]
Get:4 http://archive.ubuntu.com/ubuntu bionic/universe amd64 libgts-0.7-5 amd64 0.7.6+darcs121130-4 [150 kB]
Get:5 http://archive.ubuntu.com/ubuntu bionic/universe amd64 libpathplan4 amd64 2.40.1-2 [22,6 kB]
Get:6 http://archive.ubuntu.com/ubuntu bionic/universe amd64 libgvc6 amd64 2.40.1-2 [601 kB]
Get:7 http://archive.ubuntu.com/ubuntu bionic/universe amd64 libqt5xmlpatterns5 amd64 5.9.5-0ubuntu1 [916 kB]
Get:8 http://archive.ubuntu.com/ubuntu bionic/main amd64 libqt5concurrent5 amd64 5.9.5+dfsg-0ubuntu1 [29,8 kB]
Get:9 http://archive.ubuntu.com/ubuntu bionic/universe amd64 edb-debugger-plugins amd64 0.9.21-3 [444 kB]
Get:10 http://archive.ubuntu.com/ubuntu bionic/universe amd64 edb-debugger amd64 0.9.21-3 [406 kB]
Get:11 http://archive.ubuntu.com/ubuntu bionic/universe amd64 libgts-bin amd64 0.7.6+darcs121130-4 [41,3 kB]
Fetched 3.105 kB in 1s (3.363 kB/s)    
Selecting previously unselected package libcapstone3:amd64.
(Reading database ... 352020 files and directories currently installed.)
Preparing to unpack .../00-libcapstone3_3.0.4-5_amd64.deb ...
Unpacking libcapstone3:amd64 (3.0.4-5) ...
Selecting previously unselected package libcdt5.
Preparing to unpack .../01-libcdt5_2.40.1-2_amd64.deb ...
Unpacking libcdt5 (2.40.1-2) ...
Selecting previously unselected package libcgraph6.
Preparing to unpack .../02-libcgraph6_2.40.1-2_amd64.deb ...
Unpacking libcgraph6 (2.40.1-2) ...
Selecting previously unselected package libgts-0.7-5:amd64.
Preparing to unpack .../03-libgts-0.7-5_0.7.6+darcs121130-4_amd64.deb ...
Unpacking libgts-0.7-5:amd64 (0.7.6+darcs121130-4) ...
Selecting previously unselected package libpathplan4.
Preparing to unpack .../04-libpathplan4_2.40.1-2_amd64.deb ...
Unpacking libpathplan4 (2.40.1-2) ...
Selecting previously unselected package libgvc6.
Preparing to unpack .../05-libgvc6_2.40.1-2_amd64.deb ...
Unpacking libgvc6 (2.40.1-2) ...
Selecting previously unselected package libqt5xmlpatterns5:amd64.
Preparing to unpack .../06-libqt5xmlpatterns5_5.9.5-0ubuntu1_amd64.deb ...
Unpacking libqt5xmlpatterns5:amd64 (5.9.5-0ubuntu1) ...
Selecting previously unselected package libqt5concurrent5:amd64.
Preparing to unpack .../07-libqt5concurrent5_5.9.5+dfsg-0ubuntu1_amd64.deb ...
Unpacking libqt5concurrent5:amd64 (5.9.5+dfsg-0ubuntu1) ...
Selecting previously unselected package edb-debugger-plugins:amd64.
Preparing to unpack .../08-edb-debugger-plugins_0.9.21-3_amd64.deb ...
Unpacking edb-debugger-plugins:amd64 (0.9.21-3) ...
Selecting previously unselected package edb-debugger.
Preparing to unpack .../09-edb-debugger_0.9.21-3_amd64.deb ...
Unpacking edb-debugger (0.9.21-3) ...
Selecting previously unselected package libgts-bin.
Preparing to unpack .../10-libgts-bin_0.7.6+darcs121130-4_amd64.deb ...
Unpacking libgts-bin (0.7.6+darcs121130-4) ...
Setting up libgts-0.7-5:amd64 (0.7.6+darcs121130-4) ...
Setting up libpathplan4 (2.40.1-2) ...
Processing triggers for mime-support (3.60ubuntu1) ...
Processing triggers for desktop-file-utils (0.23-1ubuntu3.18.04.1) ...
Processing triggers for bamfdaemon (0.5.3+18.04.20180207.2-0ubuntu1) ...
Rebuilding /usr/share/applications/bamf-2.index...
Setting up libqt5xmlpatterns5:amd64 (5.9.5-0ubuntu1) ...
Processing triggers for libc-bin (2.27-3ubuntu1) ...
Processing triggers for man-db (2.8.3-2) ...
Setting up libgts-bin (0.7.6+darcs121130-4) ...
Processing triggers for gnome-menus (3.13.3-11ubuntu1.1) ...
Setting up libcapstone3:amd64 (3.0.4-5) ...
Setting up libqt5concurrent5:amd64 (5.9.5+dfsg-0ubuntu1) ...
Setting up libcdt5 (2.40.1-2) ...
Setting up libcgraph6 (2.40.1-2) ...
Setting up edb-debugger-plugins:amd64 (0.9.21-3) ...
Setting up libgvc6 (2.40.1-2) ...
Setting up edb-debugger (0.9.21-3) ...
Processing triggers for libc-bin (2.27-3ubuntu1) ...
",None
unable launch retext installed pip fix,"sudo pip3 install spyder
",None
accidentally deleted postinst preinst postrm prerm scripts,"for i in $(dpkg -l|awk '/^ii/ {print $2}')
do
    apt-get --reinstall -y install $i
done
",None
error installing node js legacy ubuntu,"curl -sL https://deb.nodesource.com/setup_8.x | sudo -E bash -
sudo apt-get install -y nodejs nodejs-legacy
",None
install dos unix ubuntu app windows machine,"sudo apt-get update
sudo apt-get install dos2unix
",None
remove pip local bin pip,"rm -r ~/.local/bin/pip3
",None
install gdal ubuntu,"#deb http://ppa.launchpad.net/ubuntugis/ppa/ubuntu bionic main
deb http://ppa.launchpad.net/ubuntugis/ppa/ubuntu xenial main
",None
install playerctl,"wget http://ftp.nl.debian.org/debian/pool/main/p/playerctl/libplayerctl2_2.0.1-1_amd64.deb
wget http://ftp.nl.debian.org/debian/pool/main/p/playerctl/playerctl_2.0.1-1_amd64.deb
sudo dpkg -i libplayerctl2_2.0.1-1_amd64.deb playerctl_2.0.1-1_amd64.deb
",None
opam ubuntu,"sudo add-apt-repository ppa:avsm/ppa
sudo apt update
sudo apt install opam
",None
upgrade minimal install,apt upgrade,None
override file packages,"dpkg-divert --divert /path/to/targetfile.diverted /path/to/targetfile
",None
purging rd party ppa upgrade ubuntu,"sudo aptitude install wine-stable
",None
probelm texlive installation,"sudo apt update  
sudo apt install aptitude   
sudo apt --fix-broken install  
cd /var/cache/apt/archives/
sudo rm texlive-music_2017.20180305-2_all.deb texlive-latex-base-doc_2017.20180305-1_all.deb
sudo aptitude install -f texlive-latex-base-doc texlive-music 
",None
apt get cant find package libav tools ubuntu deb,wget http://launchpadlibrarian.net/364831898/libavutil-dev_2.8.14-0ubuntu0.16.04.1_amd64.deb && sudo dpkg -i libavutil-dev_2.8.14-0ubuntu0.16.04.1_amd64.deb,None
install compatible debug symbols systemsettings,apt update,None
ubuntu gnome xfce,sudo apt install xubuntu-desktop xorg xubuntu-core,None
notation choice apt displaying bits per second rather bytes per second,"unsigned long long ETA = (TotalBytes - CurrentBytes)/CurrentCPS;
std::string Tmp = "" "" + SizeToStr(CurrentCPS) + ""B/s "" + TimeToStr(ETA);
size_t alignment = Line.length() + Tmp.length();
if (alignment < ScreenWidth)
{
 alignment = ScreenWidth - alignment;
 for (size_t i = 0; i < alignment; ++i)
    Line.append("" "");
 Line.append(Tmp);
}
",None
install screenlets ubuntu,"sudo apt-get install software-properties-common
",None
ubuntu gives error update,"wget -nv https://download.opensuse.org/repositories/home:/Horst3180/xUbuntu_16.04/Release.key -O Release.key
sudo apt-key add - < Release.key
sudo apt-get update
",None
install pip local python installation,sudo apt-get install libssl1.0-dev,None
dependency loop trying install firefox xvfb,"sudo apt install ppa-purge
sudo ppa-purge ppa:mozillateam/firefox-next
",None
read full dpkg database state without dpkg program,man dpkg,None
get unmet dependencies errors installing nvidia drivers ubuntu,"$ sudo apt remove nvidia-driver-390 && sudo apt autoremove
",None
attempting upgrade ubuntu server,"sudo apt-get update 
sudo apt-get upgrade -y
sudo apt-get dist-upgrade
sudo do-release-upgrade
",None
could install java ubuntu server,"sudo add-apt-repository ppa:ts.sch.gr/ppa
sudo apt-get update
sudo apt-get install oracle-java8-installer
",None
skip configure one package apt install,sudo apt purge package,None
apt get raises usr bin test permission denied,"sudo apt install --reinstall coreutils
",None
unable uninstall snapd,"sudo apt purge snapd ubuntu-core-launcher squashfs-tools
",None
download source latest stable ubuntu kernel via apt,"$ apt-cache search linux-source
linux-source - Linux kernel source with Ubuntu patches
linux-source-4.4.0 - Linux kernel source for version 4.4.0 with Ubuntu patches
linux-source-4.10.0 - Linux kernel source for version 4.10.0 with Ubuntu patches
linux-source-4.11.0 - Linux kernel source for version 4.11.0 with Ubuntu patches
linux-source-4.13.0 - Linux kernel source for version 4.13.0 with Ubuntu patches
linux-source-4.15.0 - Linux kernel source for version 4.15.0 with Ubuntu patches
linux-source-4.8.0 - Linux kernel source for version 4.8.0 with Ubuntu patches
walt@bat:~(0)$ dpkg -L linux-source-4.13.0 
/.
/usr
/usr/share
/usr/share/doc
/usr/share/doc/linux-source-4.13.0
/usr/share/doc/linux-source-4.13.0/changelog.Debian.gz
/usr/share/doc/linux-source-4.13.0/copyright
/usr/src
/usr/src/linux-source-4.13.0
/usr/src/linux-source-4.13.0/linux-source-4.13.0.tar.bz2
/usr/src/linux-source-4.13.0/debian
/usr/src/linux-source-4.13.0/debian/debian.env
/usr/src/linux-source-4.13.0/debian/tests-build
/usr/src/linux-source-4.13.0/debian/tests-build/README

   <...snip...>  

/usr/src/linux-source-4.13.0/debian.hwe/control.stub.in
/usr/src/linux-source-4.13.0/debian.hwe/modprobe.d
/usr/src/linux-source-4.13.0/debian.hwe/modprobe.d/common.conf
/usr/src/linux-source-4.13.0/debian.hwe/copyright
/usr/src/linux-source-4.13.0.tar.bz2
",None
complete setup openssh server,"subprocess installed post-installation script returned error exit status 127
",None
trying install nginx ubuntu install nginx getting error locale settings,"sudo systemctl stop apache2
",None
check breaking automatic updates kernel use apt upgrade dist upgrade,sudo apt install linux-image-generic linux-headers-generic,None
fix package broken fully installed,"sudo dpkg-reconfigure libc6
sudo dpkg --configure libssl1.1
",None
apache bin install lubuntu must ugraded ubuntu,"deb http://us.archive.ubuntu.com/ubuntu/ bionic main restricted
deb http://us.archive.ubuntu.com/ubuntu/ bionic-updates main restricted
deb http://us.archive.ubuntu.com/ubuntu/ bionic universe
deb http://us.archive.ubuntu.com/ubuntu/ bionic-updates universe
deb http://us.archive.ubuntu.com/ubuntu/ bionic multiverse
deb http://us.archive.ubuntu.com/ubuntu/ bionic-updates multiverse
deb http://us.archive.ubuntu.com/ubuntu/ bionic-backports main restricted universe multiverse

deb http://security.ubuntu.com/ubuntu bionic-security main restricted
deb http://security.ubuntu.com/ubuntu bionic-security universe
deb http://security.ubuntu.com/ubuntu bionic-security multiverse
",None
help installing net responsibility,apt update,None
unable locate package lubuntu desktop,"sudo apt install ubuntu-mate-desktop^
",None
apt upgrade stuck kbd console setup,"sudo apt remove perl keyboard-configuration console-setup-linux console-setup kbd
sudo apt autoremove
sudo apt autoclean
sudo apt install perl
sudo apt install -f
sudo apt upgrade
sudo apt upgrade -f
sudo apt autoremove
sudo apt autoclean
",None
fix clearsigned file valid got nosplit network require authentication error apt get update,"/etc/apt$ cat apt.conf

Acquire::http::proxy ""http://<proxy>"";
Acquire::https::proxy ""https://<proxy>"";
Acquire::ftp::proxy ""ftp://<proxy>"";
Acquire::socks::proxy ""socks:<proxy>"";
",None
install packages ignore another,"apt-get install 'libretro-[^f]*' 'libretro-f[^r]*'
",None
ubuntu packages bionic universe," *** 7.2.12-1+ubuntu14.04.1+deb.sury.org+1 100                                                                                                                                                                                                                                                                               
        100 /var/lib/dpkg/status                                                                                                                                                                                                                                                                                             
",None
ubuntu unable locate package qt sdk,"sudo apt install libqt4-dev
",None
installing cimg ubuntu bash script,"apt-get update -y
apt-get upgrade -y

apt-get install -y libx11-dev 

export DEBIAN_FRONTEND=noninteractive
ln -fs /usr/share/zoneinfo/Australia/Brisbane /etc/localtime
apt-get install -y tzdata
dpkg-reconfigure --frontend noninteractive tzdata

apt-get install -y cimg-dev
",None
install auto apt,"wget https://mirrors.edge.kernel.org/ubuntu/pool/universe/a/auto-apt/auto-apt_0.3.24_amd64.deb
sudo dpkg -i auto-apt_0.3.24_amd64.deb
sudo apt install -f
",None
use pip install python packages python,"pip3 install pandas
",None
unmet dependencies installing albert ubuntu,sudo gdebi ./albert.deb,None
ubuntu lts leaving space bottom full screen mode,"sudo apt-get install gnome-session-fallback
",None
possible pin source packages,apt source,None
ubuntu mirror,"http://ubuntu.mirrors.omnilance.com/ubuntu/    
",None
sudo vanished ubuntu,"dpkg-reconfigure sudo
apt install sudo
reboot
",None
cant purge mysql server,"The following packages have unmet dependencies:
 mysql-server-5.7 : PreDepends: mysql-common (>= 5.5) but it is not going to be installed
                    Depends: mysql-client-5.7 (>= 5.7.25-0ubuntu0.18.04.2) but it is not going to be installed
                    Depends: mysql-common (>= 5.8+1.0.4~) but it is not going to be installed
                    Depends: mysql-server-core-5.7 (= 5.7.25-0ubuntu0.18.04.2) but it is not going to be installed
E: Unmet dependencies. Try 'apt --fix-broken install' with no packages (or specify a solution).
",None
help packages unmet dependencies libgl mesa dev,"sudo apt-get install ppa-purge
sudo ppa-purge ppa:paulo-miguel-dias/pkppa
",None
apt dist upgrade discovery giving different update information,"flatpak update
",None
reinstalling broken xterm ubuntu,"sudo apt install --reinstall xterm
",None
nccl h,"sudo dpkg-query -L libnccl-dev
",None
install tomboy ubuntu mate,"sudo apt install gnote  
",None
apt listchanges crasht get e mail,"    sudo apt upgrade thermald
Reading package lists... Done
Building dependency tree       
Reading state information... Done
Calculating upgrade... Done
The following packages will be upgraded:
  thermald
1 upgraded, 0 newly installed, 0 to remove and 0 not upgraded.
Need to get 0 B/203 kB of archives.
After this operation, 21.5 kB of additional disk space will be used.
Do you want to continue? [Y/n] y
apt-listchanges: Changelogs werden gelesen...
(Reading database ... 310828 files and directories currently installed.)
Preparing to unpack .../thermald_1.7.0-5ubuntu5_i386.deb ...
Unpacking thermald (1.7.0-5ubuntu5) over (1.7.0-5ubuntu1) ...
Setting up thermald (1.7.0-5ubuntu5) ...
Processing triggers for dbus (1.12.2-1ubuntu1.1) ...
Processing triggers for man-db (2.8.3-2ubuntu0.1) ...
",None
ubuntu incorrect sources list,tar -xvf ubuntu-19.04-server-cloudimg-amd64-root.tar.xz etc/apt,None
ubuntu broken dependencies,sudo dpkg -i perl-base_5.26.1-6ubuntu0.3_amd64.deb,None
restore base ubuntu packages escape unmet dependencies loop,sudo aptitude install firefox,None
completely prevent installation python,"sudo apt-mark hold python
",None
command sudo apt get install upgrade system,apt-get update,None
problems running docker compose,"
Note: If the command docker-compose fails after installation, check your path. You can also create a symbolic link to /usr/bin or any other directory in your path.

For example:

sudo ln -s /usr/local/bin/docker-compose /usr/bin/docker-compose

",None
block package dependencies explicit apt get remove,"sudo apt-mark auto $many_packages
sudo apt-mark manual $keep_packages
sudo apt autoremove
",None
completely remove cuda,"sudo apt-get purge libnccl-dev libnccl2 
",None
ubuntu x wants load arm repositories,"sudo dpkg --remove-architecture arm64
",None
upgrade apt listchanges crasht sending e mail,"libsqlite3-0:i386 (3.22.0-1, 3.22.0-1ubuntu0.1)",None
gparted error loading shared libraries libgtk x,"sudo apt-get --reinstall install libgtk2.0-0
",None
gui fails space system drive,du -h,None
following error message appears run dpkg linux issus,"ruto# If you change this file, run 'update-grub' afterwards to update",None
install clang youcompleteme,"sudo apt install clang-8 libclang1-8 clang-tools-8  
",None
package provides system call man pages ubuntu,"sudo apt update
sudo apt install manpages-dev
",None
install libpng dev libtiff dev,"sudo apt update
",None
fix apt get upgrade error due msbuild,"sudo apt-get -o Dpkg::Options::=""--force-overwrite"" upgrade
","apt upgrade -y
sudo apt-get -o Dpkg::Options::=""--force-overwrite"" upgrade
sudo dpkg -i --force-depends /var/cache/apt/archives/msbuild_1%3a16.0+xamarinxplat.2019.05.07.15.32-0xamarin2+ubuntu1804b1_all.deb
"
roll back massive apt install command,"less /var/log/dpkg.log
",None
disk space gparted update,gparted live,None
launch tor browser snap install,"sudo apt install torbrowser-launcher
",None
trying overwrite usr lib aarch linux gnu libegl also package rockchip mali midgard,"$> dpkg -i --force-overwrite /var/cache/apt/archives/libegl1_1.0.0-2ubuntu2.3_arm64.deb

$> dpkg -i --force-overwrite /var/cache/apt/archives/libgles2_1.0.0-2ubuntu2.3_arm64.deb
",None
install wine unmet dependencies libfaudio,dpkg -i libfaudio*.deb,None
fix error malformed entry list file etc apt sources list dotnetdev list component," sudo rm /etc/apt/sources.list.d/dotnetdev.list
",None
fix broken kernel partially removed,"sudo apt install --reinstall linux-image-generic
",None
uninstall virtualbox package installed removed,dpkg -l,None
copying files accidental removal various packages,"sudo apt install ubuntu-desktop
",None
install specific patch number version python,"sudo apt-get install libssl-dev openssl
wget https://www.python.org/ftp/python/3.5.0/Python-3.5.0.tgz
tar xzvf Python-3.5.0.tgz
cd Python-3.5.0
./configure
make
sudo make install
",None
list packages installed uninstall unwanted ones,"# Get packages from Host A
dpkg --get-selections | grep -v deinstall > outfile
# Install packages from Host A on Host B
sudo dpkg --set-selections < outfile
",None
install vim gnome ubuntu,"sudo apt install vim-gtk3
",None
dockerfile openjdk jdk unmet dependencies openjdk jre openjdk jdk headless,"apt-get install -y -t jessie-backports openjdk-8-jdk
",None
upgrade due libgl mesa dri package,"grep ""bionic"" /etc/apt/sources.list /etc/apt/sources.list.d/*
",None
apt get f install fails emacs conflict emacs,"sudo dpkg -i --force-all /var/cache/apt/archives/emacs25-common_25.3~1.gite0284ab-kk1+18.04_all.deb
",None
tell apt get update upgrade package newer version available,"apt-get -o dpkg::Options::=--refuse-downgrade
",None
apt programmatically detect upgradable packages update,sudo apt update,None
find doc package libappindicator,$ dpkg -L libappindicator-doc,None
gcc version package version,"apt policy gcc gcc-5 gcc-6 gcc-7 gcc-8 gcc-9     
",None
making php work ubuntu,"deb http://archive.ubuntu.com/ubuntu/ disco main
",None
issues installing r base following packages unmet dependencies,"deb https://cloud.r-project.org/bin/linux/ubuntu bionic-cran35/ 
",None
latest chromium ubuntu lts snap apt something else,snap install --channel=edge chromium,None
install python,python3.5 --version,apt-get install
queue sudo apt get install commands lock,sudo aptdcon --install chromium-browser,None
install packages non root user,sudo adduser appuser sudo,None
get list recently removed packages,"Start-Date: 2020-04-06  17:21:27
Commandline: apt-get autoremove
Requested-By: user (1000)
Remove: linux-image-5.3.0-42-generic:amd64 (5.3.0-42.34~18.04.1), linux-headers-5.3.0-42-generic:amd64 (5.3.0-42.34~18.04.1), linux-modules-extra-5.3.0-42-generic:amd64 (5.3.0-42.34~18.04.1), linux-headers-5.3.0-42:amd64 (5.3.0-42.34~18.04.1), linux-modules-5.3.0-42-generic:amd64 (5.3.0-42.34~18.04.1)
End-Date: 2020-04-06  17:21:44
",None
correctly install libpng ubuntu,"sudo add-apt-repository ppa:linuxuprising/libpng12
sudo apt update
sudo apt install libpng12-0
",None
uninstall oracle virtualbox,"sudo apt-get purge virtualbox-6.1:amd64
",None
leave deb files cache installing apt clean installed effect,"# echo 'Binary::apt::APT::Keep-Downloaded-Packages ""true"";' \
> /etc/apt/apt.conf.d/01keep-debs
",None
e could open lock file var lib dpkg lock frontend open permission denied,"sudo apt-get update && sudo apt-get upgrade
",None
uninstall fsearch software,"cd fsearch
sudo make uninstall
",None
unable fix broken packages installing cuda,"sudo apt --fix-broken install -o Dpkg::Options::=""--force-overwrite""
",None
change program repository install specific one,"-t, --target-release, --default-release
       This option controls the default input to the policy engine, it creates a default pin at priority 990 using the specified
       release string. This overrides the general settings in /etc/apt/preferences. Specifically pinned packages are not affected by
       the value of this option. In short, this option lets you have simple control over which distribution packages will be retrieved
       from. Some common examples might be -t '2.1*', -t unstable or -t sid. Configuration Item: APT::Default-Release; see also the
       apt_preferences(5) manual page.
",None
set correct version ubuntu,"sudoedit /etc/apt/sources.list          // CLI 
//OR//
sudo -H gedit /etc/apt/sources.list     // GUI
",None
apt get update install work,"sudo sed -i.bak 's/ca.old-/old-/g' /etc/apt/sources.list
sudo apt update
",None
apt package installs ip addr command,"user@ubuntu18:~$ dpkg -S ip | grep '/sbin/ip$'
user@ubuntu18:~$ iproute2: /sbin/ip
",None
error trying install python packages,sudo dpkg -r python,None
system crashed terminal showing configuring secure boot box,sudo dpkg --configure -a,None
install wine ubuntu,"sudo dpkg --add-architecture i386
wget -qO - https://dl.winehq.org/wine-builds/winehq.key | sudo apt-key add -
sudo apt-add-repository 'deb https://dl.winehq.org/wine-builds/ubuntu/ disco main'
sudo apt-get update
sudo apt install --install-recommends winehq-stable
",None
uninstall telegram installed tar xz obtained official website,"rm -Rf \
  ~/.local/share/icons/telegram.png \ 
  ~/.local/share/applications/telegramdesktop.desktop \
  ~/.local/share/TelegramDesktop
",None
error apt update," /usr/lib/python3/dist-packages# sudo cp apt_pkg.cpython-35m-x86_64-linux-gnu.so apt_pkg.so
","sudo apt-get remove python3-apt
sudo apt-get install python3-apt
"
nvml driver library mismatch libnvidia update,sudo apt install nvidia-driver-440,None
run latest blender ubuntu,"sudo apt install llvm-6.0
",None
failed fetch errors running sudo apt update,"sudo dpkg --remove-architecture arm64
sudo apt-get update
",None
install package python uniconverter ubuntu,"cd ~/Downloads
wget http://security.ubuntu.com/ubuntu/pool/universe/p/pillow/python-imaging_3.1.2-0ubuntu1.3_all.deb \
http://archive.ubuntu.com/ubuntu/pool/universe/p/python-reportlab/python-reportlab-accel_3.5.23-1ubuntu0.1_amd64.deb \
http://security.ubuntu.com/ubuntu/pool/universe/p/python-reportlab/python-reportlab_3.3.0-1ubuntu0.1_all.deb \
http://archive.ubuntu.com/ubuntu/pool/universe/p/python-uniconvertor/python-uniconvertor_1.1.5-2_amd64.deb
sudo apt install ./python-imaging_3.1.2-0ubuntu1.3_all.deb \
./python-reportlab-accel_3.5.23-1ubuntu0.1_amd64.deb \
./python-reportlab_3.3.0-1ubuntu0.1_all.deb \
./python-uniconvertor_1.1.5-2_amd64.deb
",None
driverctl package available bionic,"sudo apt-get install debhelper pkg-config dpkg-dev

cd ~/Downloads
wget http://archive.ubuntu.com/ubuntu/pool/universe/d/driverctl/driverctl_0.111.orig.tar.gz
tar -xf driverctl_0.111.orig.tar.gz
cd driverctl-0.111/
wget http://archive.ubuntu.com/ubuntu/pool/universe/d/driverctl/driverctl_0.111-1.debian.tar.xz
tar -xf driverctl_0.111-1.debian.tar.xz
rm driverctl_0.111-1.debian.tar.xz

dpkg-buildpackage -uc -us

sudo apt-get install ../driverctl_0.111-1_all.deb
",None
install cpan without bringing gcc g etc,"sudo apt-get install libcam-pdf-perl
",None
get usr bin python back deleting,"sudo ln -s /usr/bin/python3.6 /usr/bin/python3
",None
error package pulseaudio installation candidate,"sudo apt update && sudo apt install pulseaudio
",None
remove package ppa deleted,"sudo dpkg --get-selections | grep -i etcher 

sudo apt purge <full package name or exact output of above command> 
",None
possible upgrade lts distribution release first upgrading development release lts,do-upgrade-release -d,None
python requests package missing ubuntu,"cd ~/Desktop/
sudo apt install ./python-requests_2.21.0-1_all.deb
",None
gnome documents depends libreoffice,"sudo apt install gnome-documents --no-install-recommends
",None
trying update apt source getting following error fix,sudo nano etc/apt/sources.list,None
apt get update private ipv aws ec,sudo sed -i 's/us-west-2\.ec2\.//g' /etc/apt/sources.list,None
install libpcre dev ubuntu focal,"sudo apt-get install libpcre3=2:8.39-12build1 libpcre3-dev=2:8.39-12build1
",None
getting error installing packages,"sudo apt-get --purge --reinstall install ttf-mscorefonts-installer
",None
trying install docker getting error,"deb [arch=amd64] https://download.docker.com/linux/ubuntu artful stable
",None
looking qt spi ubuntu,"cd Desktop
mkdir working-dir
cd working-dir
cp ~/Downloads/PacketTracer_730_amd64.deb .
ls
wget http://ftp.br.debian.org/debian/pool/main/d/double-conversion/libdouble-conversion1_3.1.0-3_amd64.deb http://archive.ubuntu.com/ubuntu/pool/main/libj/libjpeg-turbo/libjpeg-turbo8_2.0.3-0ubuntu1_amd64.deb http://archive.ubuntu.com/ubuntu/pool/main/libj/libjpeg8-empty/libjpeg8_8c-2ubuntu8_amd64.deb
ls -l
chmod +x *
ls -l
sudo dpkg -i *
sudo featherpad /var/lib/dpkg/status #featherpad here, is my text editor
    #ctrl+f (search) > Depends: libdouble-conversion1, qt-at-spi > (delete-this-line) > save & close
sudo apt --fix-broken install
packettracer
",None
check minor version nvidia driver yet installed,apt-cache policy (packagename),None
startup applications app missing,"sudo apt-get install gnome-startup-applications
","sudo apt install gnome-startup-applications
"
upgrade python latest version python,"#!/usr/bin/env python3
...
",None
